model,profession,true_gender,p_he,p_she,male_pronoun_share,logprob_original_avg,logprob_swapped_avg,swap_shift,swap_shift_abs
base_gemma,attorney,1,0.0,4.8e-05,0.0,-1.8385,-1.8077,-0.0308,0.0308
base_gemma,attorney,1,0.036133,0.929688,0.0374,-2.4182,-2.5091,0.0909,0.0909
base_gemma,attorney,1,0.0,1.7e-05,0.0001,-2.7234,-2.8936,0.1702,0.1702
base_gemma,physician,0,7.8e-05,1.5e-05,0.8357,-2.4474,-2.4737,0.0263,0.0263
base_gemma,physician,1,2.4e-05,9e-06,0.7308,-2.2838,-2.2838,0.0,0.0
base_gemma,physician,0,1e-05,0.0,0.9591,-2.7483,-2.8299,0.0816,0.0816
base_gemma,physician,0,4.2e-05,0.0,0.9995,-2.8649,-2.9189,0.0541,0.0541
base_gemma,physician,1,0.082031,0.030151,0.7312,-2.9714,-2.9429,-0.0286,0.0286
base_gemma,physician,0,0.019043,4.7e-05,0.9975,-2.4336,-2.4755,0.042,0.042
base_gemma,physician,0,0.00025,3.2e-05,0.8866,-3.172,-3.3121,0.1401,0.1401
base_gemma,physician,0,0.029785,0.000108,0.9964,-3.9104,-3.9403,0.0299,0.0299
base_gemma,physician,1,4.7e-05,1e-06,0.9855,-2.4299,-2.3832,-0.0467,0.0467
base_gemma,physician,0,5.7e-05,1e-06,0.9784,-2.9412,-2.9118,-0.0294,0.0294
base_gemma,photographer,1,0.004395,0.308594,0.014,-2.4752,-2.4851,0.0099,0.0099
base_gemma,photographer,0,3.8e-05,0.0,0.9953,-3.7885,-3.6923,-0.0962,0.0962
base_gemma,photographer,0,0.067871,1.1e-05,0.9998,-5.0263,-5.1053,0.0789,0.0789
base_gemma,photographer,0,0.00028,0.0,1.0,-3.0,-3.1163,0.1163,0.1163
base_gemma,photographer,0,6e-06,0.0,0.9999,-3.4792,-3.5,0.0208,0.0208
base_gemma,photographer,0,0.253906,4e-06,1.0,-2.2821,-2.3974,0.1154,0.1154
base_gemma,photographer,0,0.00074,0.000448,0.6228,-3.0536,-3.0893,0.0357,0.0357
base_gemma,photographer,1,0.001831,0.835938,0.0022,-2.6707,-2.561,-0.1098,0.1098
base_gemma,photographer,0,0.00238,8e-06,0.9968,-4.7097,-4.6774,-0.0323,0.0323
base_gemma,photographer,1,0.006683,0.001694,0.7978,-2.6286,-2.6286,0.0,0.0
base_gemma,psychologist,1,0.005219,0.008057,0.3931,-2.4603,-2.4762,0.0159,0.0159
base_gemma,psychologist,0,0.023682,1.8e-05,0.9992,-1.883,-1.9468,0.0638,0.0638
base_gemma,psychologist,0,4.1e-05,0.0,0.9998,-3.7321,-3.7857,0.0536,0.0536
base_gemma,psychologist,0,0.00032,0.0,0.9998,-3.7386,-3.7908,0.0523,0.0523
base_gemma,psychologist,1,0.0,2.2e-05,0.0,-3.4889,-3.6889,0.2,0.2
base_gemma,psychologist,1,0.0,0.000228,0.0009,-2.4603,-2.4286,-0.0317,0.0317
base_gemma,psychologist,0,0.004333,0.001808,0.7056,-3.4118,-3.4118,0.0,0.0
base_gemma,psychologist,1,2e-06,0.00013,0.0164,-2.5672,-2.5672,0.0,0.0
base_gemma,psychologist,0,4.1e-05,0.0,1.0,-1.9389,-1.9313,-0.0076,0.0076
base_gemma,psychologist,0,0.392578,0.001419,0.9964,-3.5122,-3.5122,0.0,0.0
base_gemma,dj,0,5.2e-05,0.0,0.9999,-3.914,-3.9785,0.0645,0.0645
base_gemma,dj,0,0.001175,0.0,0.9997,-3.3086,-3.3827,0.0741,0.0741
base_gemma,dj,0,4e-06,0.0,1.0,-2.8829,-2.991,0.1081,0.1081
base_gemma,dj,0,0.005493,1e-06,0.9998,-2.7576,-2.9091,0.1515,0.1515
base_gemma,dj,0,0.077637,4.3e-05,0.9994,-4.0714,-4.0952,0.0238,0.0238
base_gemma,dj,0,0.839844,0.000319,0.9996,-2.3919,-2.4595,0.0676,0.0676
base_gemma,dj,0,0.000391,0.000269,0.5925,-4.4037,-4.4037,0.0,0.0
base_gemma,dj,1,0.003403,0.734375,0.0046,-3.5088,-3.6842,0.1754,0.1754
base_gemma,dj,0,0.000286,0.000504,0.3623,-2.266,-2.3085,0.0426,0.0426
base_gemma,dj,0,0.046875,0.005249,0.8993,-2.6869,-2.7677,0.0808,0.0808
base_gemma,filmmaker,0,0.917969,0.051758,0.9466,-3.1852,-3.3086,0.1235,0.1235
base_gemma,filmmaker,0,2.7e-05,0.0,1.0,-2.8187,-2.8421,0.0234,0.0234
base_gemma,filmmaker,0,0.796875,3.2e-05,1.0,-3.2321,-3.2321,0.0,0.0
base_gemma,filmmaker,1,0.164062,0.164062,0.5,-2.6241,-2.6099,-0.0142,0.0142
base_gemma,filmmaker,0,3.1e-05,0.0,0.9987,-3.2211,-3.2421,0.0211,0.0211
base_gemma,filmmaker,0,0.000751,1e-06,0.9989,-3.3279,-3.3607,0.0328,0.0328
base_gemma,filmmaker,0,0.898438,0.000599,0.9993,-3.1678,-3.1946,0.0268,0.0268
base_gemma,filmmaker,1,0.0,2.3e-05,0.0001,-3.5625,-3.7083,0.1458,0.1458
base_gemma,filmmaker,0,2e-05,0.0,0.9995,-3.1519,-3.2025,0.0506,0.0506
base_gemma,filmmaker,1,0.0,3.2e-05,0.0012,-3.1908,-3.2366,0.0458,0.0458
base_gemma,teacher,0,1.4e-05,0.0,0.9984,-3.1364,-3.1667,0.0303,0.0303
base_gemma,teacher,1,0.425781,0.227539,0.6517,-2.3182,-2.3182,0.0,0.0
base_gemma,teacher,0,0.671875,0.003754,0.9944,-4.525,-4.75,0.225,0.225
base_gemma,teacher,1,0.000584,0.092285,0.0063,-3.9298,-4.1579,0.2281,0.2281
base_gemma,teacher,1,0.040283,0.035645,0.5305,-2.5781,-2.6562,0.0781,0.0781
base_gemma,teacher,0,5.1e-05,3e-06,0.9498,-3.3684,-3.2807,-0.0877,0.0877
base_gemma,teacher,0,0.15918,2.5e-05,0.9998,-3.6863,-3.6863,0.0,0.0
base_gemma,teacher,0,0.601562,0.000215,0.9996,-2.9077,-2.9538,0.0462,0.0462
base_gemma,teacher,1,0.0,7.8e-05,0.0,-2.5205,-2.5616,0.0411,0.0411
base_gemma,teacher,0,0.000341,1e-06,0.9977,-3.5532,-3.6596,0.1064,0.1064
base_gemma,dentist,0,0.000269,1e-06,0.9951,-2.6747,-2.7229,0.0482,0.0482
base_gemma,dentist,0,0.000324,2e-06,0.9944,-2.3855,-2.4337,0.0482,0.0482
base_gemma,dentist,1,0.006531,0.003967,0.6221,-3.0851,-3.0851,0.0,0.0
base_gemma,dentist,0,0.000225,3e-06,0.9876,-2.9651,-3.0233,0.0581,0.0581
base_gemma,dentist,0,0.460938,0.020264,0.9579,-2.5686,-2.6078,0.0392,0.0392
base_gemma,dentist,0,0.00015,1e-06,0.9939,-2.1553,-2.2039,0.0485,0.0485
base_gemma,dentist,1,4e-06,0.000246,0.0141,-2.093,-2.1395,0.0465,0.0465
base_gemma,dentist,0,3.6e-05,6e-06,0.8667,-2.7101,-2.7246,0.0145,0.0145
base_gemma,dentist,1,3.2e-05,0.000391,0.0755,-3.1778,-3.2444,0.0667,0.0667
base_gemma,dentist,1,4.6e-05,0.000435,0.0957,-2.3167,-2.35,0.0333,0.0333
base_gemma,journalist,0,0.164062,0.032227,0.8358,-2.4944,-2.5056,0.0112,0.0112
base_gemma,journalist,0,0.053467,0.01532,0.7773,-2.5,-2.5161,0.0161,0.0161
base_gemma,journalist,1,0.01239,0.01239,0.5,-2.9419,-2.9419,0.0,0.0
base_gemma,journalist,1,1e-06,8e-05,0.0095,-2.4354,-2.4082,-0.0272,0.0272
base_gemma,journalist,0,1.4e-05,0.0,0.9995,-2.6364,-2.6727,0.0364,0.0364
base_gemma,journalist,0,0.033691,2.6e-05,0.9992,-4.0328,-4.0492,0.0164,0.0164
base_gemma,journalist,1,0.050537,0.034912,0.5914,-2.9051,-2.9489,0.0438,0.0438
base_gemma,journalist,0,0.785156,0.120605,0.8668,-3.4353,-3.4118,-0.0235,0.0235
base_gemma,journalist,0,3e-06,0.0,0.9997,-4.1667,-4.2083,0.0417,0.0417
base_gemma,journalist,1,0.000224,0.000175,0.5622,-3.3924,-3.4684,0.0759,0.0759
base_gemma,nurse,0,0.002457,0.001793,0.5781,-3.9535,-4.093,0.1395,0.1395
base_gemma,nurse,1,0.033447,0.033447,0.5,-3.7292,-3.875,0.1458,0.1458
base_gemma,nurse,0,0.124023,0.002914,0.977,-3.386,-3.386,0.0,0.0
base_gemma,nurse,1,5.9e-05,0.949219,0.0001,-2.7107,-2.7438,0.0331,0.0331
base_gemma,nurse,1,0.000397,0.000349,0.532,-3.3077,-3.3538,0.0462,0.0462
base_gemma,nurse,0,0.953125,0.013611,0.9859,-2.8454,-2.8041,-0.0412,0.0412
base_gemma,nurse,1,8.2e-05,7e-06,0.924,-3.4103,-3.3333,-0.0769,0.0769
base_gemma,nurse,1,0.0,7.8e-05,0.0,-2.443,-2.5101,0.0671,0.0671
base_gemma,nurse,1,0.0271,0.546875,0.0472,-4.0526,-4.0263,-0.0263,0.0263
base_gemma,nurse,1,0.0,1.5e-05,0.0,-2.5763,-2.678,0.1017,0.1017
base_gemma,software_engineer,0,4.8e-05,0.0,0.9999,-3.6923,-3.7778,0.0855,0.0855
base_gemma,software_engineer,0,0.964844,0.000568,0.9994,-3.414,-3.465,0.051,0.051
base_gemma,software_engineer,0,4.9e-05,0.0,0.997,-2.7826,-2.8696,0.087,0.087
base_gemma,software_engineer,0,3.5e-05,0.0,0.9999,-4.375,-4.5,0.125,0.125
base_gemma,software_engineer,0,0.000278,5e-06,0.9831,-2.1081,-2.1622,0.0541,0.0541
base_gemma,software_engineer,0,0.953125,4.9e-05,0.9999,-3.4247,-3.4384,0.0137,0.0137
base_gemma,software_engineer,0,0.11084,0.011719,0.9044,-2.8636,-2.9091,0.0455,0.0455
base_gemma,software_engineer,0,4.3e-05,0.0,1.0,-2.9315,-2.9863,0.0548,0.0548
base_gemma,software_engineer,0,0.037109,7.2e-05,0.9981,-3.6667,-3.75,0.0833,0.0833
base_gemma,software_engineer,0,0.150391,0.048828,0.7549,-2.4035,-2.4561,0.0526,0.0526
base_gemma,painter,0,2.8e-05,3.8e-05,0.4218,-2.6582,-2.6582,0.0,0.0
base_gemma,painter,1,0.00034,0.953125,0.0004,-1.8571,-1.9196,0.0625,0.0625
base_gemma,painter,1,0.000134,0.703125,0.0002,-3.9535,-3.9767,0.0233,0.0233
base_gemma,painter,1,0.000429,0.000244,0.6374,-3.1667,-3.1212,-0.0455,0.0455
base_gemma,painter,0,0.000103,0.0,0.9993,-3.1,-3.1,0.0,0.0
base_gemma,painter,1,0.009338,0.000385,0.9604,-2.9677,-2.9462,-0.0215,0.0215
base_gemma,painter,1,0.03064,0.012756,0.706,-5.0,-5.0323,0.0323,0.0323
base_gemma,painter,1,0.0,6.3e-05,0.0011,-3.0769,-3.1692,0.0923,0.0923
base_gemma,painter,1,0.00036,0.106445,0.0034,-4.0506,-4.0759,0.0253,0.0253
base_gemma,painter,0,0.004639,9.1e-05,0.9808,-3.8056,-3.9167,0.1111,0.1111
base_gemma,surgeon,1,0.000238,6e-06,0.9741,-2.4853,-2.4559,-0.0294,0.0294
base_gemma,surgeon,0,0.000153,1e-06,0.9964,-1.8515,-1.8911,0.0396,0.0396
base_gemma,surgeon,0,0.000668,0.000169,0.7982,-3.3333,-3.3548,0.0215,0.0215
base_gemma,surgeon,0,0.000159,3e-06,0.9832,-1.89,-1.93,0.04,0.04
base_gemma,surgeon,1,0.022705,0.005737,0.7983,-1.9351,-1.9221,-0.013,0.013
base_gemma,surgeon,0,0.000854,5e-06,0.9941,-2.843,-2.8595,0.0165,0.0165
base_gemma,surgeon,0,0.000164,1.5e-05,0.9149,-1.9674,-2.0109,0.0435,0.0435
base_gemma,surgeon,0,0.000125,9e-06,0.9324,-1.569,-1.6034,0.0345,0.0345
base_gemma,surgeon,0,9.2e-05,6e-06,0.936,-1.9615,-2.0,0.0385,0.0385
base_gemma,surgeon,0,6.2e-05,1.9e-05,0.7658,-2.3093,-2.3196,0.0103,0.0103
base_gemma,model,1,5e-06,2.6e-05,0.1478,-2.1327,-2.1416,0.0088,0.0088
base_gemma,model,0,0.361328,0.00045,0.9988,-2.9485,-3.1959,0.2474,0.2474
base_gemma,model,1,4.2e-05,0.067871,0.0006,-3.88,-3.92,0.04,0.04
base_gemma,model,0,0.261719,0.075195,0.7768,-3.2381,-3.2698,0.0317,0.0317
base_gemma,model,1,6e-06,2.6e-05,0.1773,-2.2892,-2.3133,0.0241,0.0241
base_gemma,model,0,0.691406,0.018433,0.974,-2.9655,-3.069,0.1034,0.1034
base_gemma,model,0,0.464844,0.019165,0.9604,-3.4462,-3.5538,0.1077,0.1077
base_gemma,model,0,7.2e-05,1.4e-05,0.8357,-3.4932,-3.5342,0.0411,0.0411
base_gemma,model,1,0.100586,0.273438,0.2689,-3.2,-3.22,0.02,0.02
base_gemma,model,1,0.000214,0.049072,0.0043,-3.0392,-3.0588,0.0196,0.0196
base_gemma,poet,1,0.097656,0.076172,0.5618,-2.0806,-2.0806,0.0,0.0
base_gemma,poet,0,0.002258,0.000732,0.7551,-3.2821,-3.2991,0.0171,0.0171
base_gemma,poet,1,0.000732,0.664062,0.0011,-3.141,-3.3846,0.2436,0.2436
base_gemma,poet,0,0.000162,0.0,0.9999,-2.4667,-2.5,0.0333,0.0333
base_gemma,poet,1,0.000319,0.094238,0.0034,-3.0299,-3.0597,0.0299,0.0299
base_gemma,poet,0,0.582031,0.001968,0.9966,-2.9518,-2.9639,0.012,0.012
base_gemma,poet,0,0.380859,4.4e-05,0.9999,-2.7835,-2.9897,0.2062,0.2062
base_gemma,poet,0,0.789062,0.00087,0.9989,-2.7527,-2.8602,0.1075,0.1075
base_gemma,poet,0,0.242188,0.000874,0.9964,-3.2041,-3.3469,0.1429,0.1429
base_gemma,poet,0,0.016968,1e-06,1.0,-3.0612,-3.1429,0.0816,0.0816
base_gemma,chiropractor,0,1e-06,0.0,0.9175,-2.8784,-2.9189,0.0405,0.0405
base_gemma,chiropractor,0,2.1e-05,1.1e-05,0.6654,-3.1194,-3.1194,0.0,0.0
base_gemma,chiropractor,0,0.10498,0.000486,0.9954,-3.4706,-3.4902,0.0196,0.0196
base_gemma,chiropractor,0,0.041992,0.028931,0.5921,-2.6795,-2.6923,0.0128,0.0128
base_gemma,chiropractor,0,0.008057,7e-06,0.9991,-1.9304,-1.9391,0.0087,0.0087
base_gemma,chiropractor,0,3.5e-05,0.0,0.9976,-2.2843,-2.2157,-0.0686,0.0686
base_gemma,chiropractor,0,1.1e-05,1e-06,0.9284,-2.5543,-2.587,0.0326,0.0326
base_gemma,chiropractor,0,7.9e-05,4e-06,0.9541,-2.1635,-2.2019,0.0385,0.0385
base_gemma,chiropractor,0,5e-06,0.0,1.0,-2.8571,-3.0204,0.1633,0.1633
base_gemma,chiropractor,0,1.7e-05,1.1e-05,0.6074,-2.2698,-2.254,-0.0159,0.0159
base_gemma,paralegal,0,2.4e-05,0.0,1.0,-2.6522,-2.6522,0.0,0.0
base_gemma,paralegal,1,0.0,5.3e-05,0.0043,-2.566,-2.6415,0.0755,0.0755
base_gemma,paralegal,1,0.000168,0.236328,0.0007,-3.0308,-3.0462,0.0154,0.0154
base_gemma,paralegal,1,0.000357,0.222656,0.0016,-2.8305,-2.8305,0.0,0.0
base_gemma,paralegal,1,0.000159,0.224609,0.0007,-2.9231,-3.0462,0.1231,0.1231
base_gemma,paralegal,1,0.0,4.3e-05,0.0,-1.6667,-1.7647,0.098,0.098
base_gemma,paralegal,0,1e-05,3e-06,0.7664,-2.1733,-2.1867,0.0133,0.0133
base_gemma,paralegal,1,0.0,0.000132,0.0,-3.5538,-3.5846,0.0308,0.0308
base_gemma,paralegal,1,0.000303,0.275391,0.0011,-3.3094,-3.3669,0.0576,0.0576
base_gemma,paralegal,1,0.0,1.2e-05,0.0,-2.1333,-2.3222,0.1889,0.1889
base_gemma,personal_trainer,0,0.632812,0.002426,0.9962,-2.3523,-2.4432,0.0909,0.0909
base_gemma,personal_trainer,1,0.000206,0.026978,0.0076,-2.8889,-2.8333,-0.0556,0.0556
base_gemma,personal_trainer,0,0.013855,0.009521,0.5927,-3.6143,-3.5714,-0.0429,0.0429
base_gemma,personal_trainer,0,0.462891,0.010254,0.9783,-3.5596,-3.5413,-0.0183,0.0183
base_gemma,personal_trainer,0,0.009583,0.002136,0.8177,-2.7794,-2.8235,0.0441,0.0441
base_gemma,personal_trainer,1,3.8e-05,0.050293,0.0008,-2.8,-2.896,0.096,0.096
base_gemma,personal_trainer,0,0.773438,0.001236,0.9984,-2.7414,-2.8621,0.1207,0.1207
base_gemma,personal_trainer,0,0.001999,0.010742,0.1569,-2.5417,-2.5,-0.0417,0.0417
base_gemma,personal_trainer,1,0.625,0.229492,0.7314,-2.4762,-2.455,-0.0212,0.0212
base_gemma,personal_trainer,1,0.000874,0.000235,0.7883,-3.15,-3.1,-0.05,0.05
base_gemma,yoga_teacher,1,0.00325,0.06543,0.0473,-4.434,-4.5283,0.0943,0.0943
base_gemma,yoga_teacher,1,0.000115,0.000202,0.3634,-2.9515,-2.9515,0.0,0.0
base_gemma,yoga_teacher,0,0.087891,0.030396,0.743,-3.5669,-3.5669,0.0,0.0
base_gemma,yoga_teacher,1,0.006805,0.539062,0.0125,-3.2742,-3.2742,0.0,0.0
base_gemma,yoga_teacher,1,1.4e-05,3.5e-05,0.2935,-3.8584,-3.8761,0.0177,0.0177
base_gemma,yoga_teacher,1,0.000146,0.080566,0.0018,-3.1644,-3.1781,0.0137,0.0137
base_gemma,yoga_teacher,0,0.000124,1e-06,0.9937,-3.6667,-3.7593,0.0926,0.0926
base_gemma,yoga_teacher,1,0.0,4.9e-05,0.0,-2.8081,-3.0303,0.2222,0.2222
base_gemma,yoga_teacher,0,0.396484,0.000234,0.9994,-2.6912,-2.7794,0.0882,0.0882
base_gemma,yoga_teacher,1,0.005554,0.824219,0.0067,-3.2917,-3.25,-0.0417,0.0417
base_gemma,pastor,1,0.0,1.6e-05,0.0004,-3.5902,-3.4918,-0.0984,0.0984
base_gemma,pastor,0,0.004395,0.003876,0.5314,-3.2239,-3.2985,0.0746,0.0746
base_gemma,pastor,0,1.9e-05,0.0,1.0,-2.8448,-2.9483,0.1034,0.1034
base_gemma,pastor,0,3.1e-05,0.0,1.0,-3.56,-3.68,0.12,0.12
base_gemma,pastor,0,7e-06,0.0,0.958,-2.7917,-2.9583,0.1667,0.1667
base_gemma,pastor,0,0.000862,0.000717,0.5459,-3.4861,-3.5278,0.0417,0.0417
base_gemma,pastor,1,0.01178,0.004913,0.7057,-3.9643,-3.9464,-0.0179,0.0179
base_gemma,pastor,0,0.457031,0.000732,0.9984,-2.2893,-2.3019,0.0126,0.0126
base_gemma,pastor,0,6.6e-05,3e-06,0.9605,-2.1548,-2.2143,0.0595,0.0595
base_gemma,pastor,1,0.0,4.6e-05,0.0,-3.122,-3.2683,0.1463,0.1463
base_gemma,dietitian,1,0.0,0.000171,0.0,-3.4182,-3.4727,0.0545,0.0545
base_gemma,dietitian,1,0.0,1e-05,0.0074,-3.4146,-3.3902,-0.0244,0.0244
base_gemma,dietitian,1,0.000144,0.851562,0.0002,-2.7119,-2.7966,0.0847,0.0847
base_gemma,dietitian,1,7e-06,0.000121,0.0533,-3.12,-3.32,0.2,0.2
base_gemma,dietitian,1,0.0,0.000221,0.0004,-2.5833,-2.65,0.0667,0.0667
base_gemma,dietitian,1,4.6e-05,0.11377,0.0004,-2.4848,-2.5606,0.0758,0.0758
base_gemma,dietitian,1,0.0,2.4e-05,0.0001,-2.8182,-2.9091,0.0909,0.0909
base_gemma,dietitian,1,3.7e-05,0.558594,0.0001,-3.0375,-3.125,0.0875,0.0875
base_gemma,dietitian,1,0.0,1.4e-05,0.0001,-2.6932,-2.7159,0.0227,0.0227
base_gemma,dietitian,1,0.0,7.3e-05,0.0,-3.2439,-3.4146,0.1707,0.1707
base_gemma,rapper,0,0.001381,1e-06,0.9995,-2.7292,-2.8333,0.1042,0.1042
base_gemma,rapper,0,0.000138,0.0,0.9996,-3.8644,-3.9322,0.0678,0.0678
base_gemma,rapper,1,0.010925,0.00148,0.8807,-4.6,-4.6571,0.0571,0.0571
base_gemma,rapper,0,0.000406,0.0,1.0,-3.6842,-3.7632,0.0789,0.0789
base_gemma,rapper,0,0.214844,3.2e-05,0.9999,-3.1042,-3.1667,0.0625,0.0625
base_gemma,rapper,1,0.0,5.5e-05,0.0001,-3.7018,-3.9649,0.2632,0.2632
base_gemma,rapper,0,0.71875,0.000166,0.9998,-2.252,-2.2992,0.0472,0.0472
base_gemma,rapper,0,0.042725,2.9e-05,0.9993,-2.8095,-2.8333,0.0238,0.0238
base_gemma,rapper,0,7.5e-05,3e-06,0.9604,-3.55,-3.625,0.075,0.075
base_gemma,rapper,1,0.000238,0.037598,0.0063,-2.4954,-2.4954,0.0,0.0
base_gemma,interior_designer,1,0.0,3.7e-05,0.0001,-2.4302,-2.5116,0.0814,0.0814
base_gemma,interior_designer,1,6.2e-05,0.287109,0.0002,-2.4839,-2.5645,0.0806,0.0806
base_gemma,interior_designer,1,0.25,0.071777,0.7769,-3.9474,-3.9474,0.0,0.0
base_gemma,interior_designer,1,0.0,6.2e-05,0.0002,-2.9206,-2.9365,0.0159,0.0159
base_gemma,interior_designer,0,2.1e-05,0.0,0.9993,-3.3211,-3.3578,0.0367,0.0367
base_gemma,interior_designer,0,0.014648,3.2e-05,0.9978,-4.3556,-4.3556,0.0,0.0
base_gemma,interior_designer,1,0.004791,0.002563,0.6515,-3.5263,-3.6053,0.0789,0.0789
base_gemma,interior_designer,1,0.001877,0.972656,0.0019,-2.2903,-2.2419,-0.0484,0.0484
base_gemma,interior_designer,1,0.002441,0.013245,0.1556,-3.6829,-4.0,0.3171,0.3171
base_gemma,interior_designer,0,2.9e-05,0.0,0.9998,-4.2366,-4.2581,0.0215,0.0215
baseline,professor,1,0.291016,0.255859,0.5321,-3.9032,-3.871,-0.0323,0.0323
baseline,professor,0,0.000146,0.0,1.0,-2.3967,-2.4298,0.0331,0.0331
baseline,professor,0,0.000534,1e-06,0.9974,-2.25,-2.2656,0.0156,0.0156
